Date,Log_Return,Volatility,VaR_95,Std_Resid
2021-07-27,5.39428534880368,4.062855237275758,-5.395529821327522,1.306972037033434
2021-07-28,1.48351265164539,4.209221867825294,-5.592941849702305,0.33242854200006744
2021-07-29,0.03128737005972,4.116730329278773,-5.468193864704497,-0.012864528126374829
2021-07-30,5.41722306526182,4.009929718801901,-5.324146515477798,1.3299424867939569
2021-07-31,-1.45325453751503,4.163270102126355,-5.530964394595417,-0.36930145365759265
2021-08-01,-4.04780437557139,4.067450631924281,-5.401727860971815,-1.0158824071052028
2021-08-02,-1.95252494648094,4.053897832653212,-5.383448519675149,-0.5024231477282524
2021-08-03,-2.71224912051319,3.9716827070310328,-5.2725608490959655,-0.7041086838915923
2021-08-04,4.09431646384774,3.9128824568925835,-5.193253997491922,1.024837659923705
2021-08-05,2.78383573712464,3.963383359657389,-5.2613671023173,0.6811323379499116
2021-08-06,4.65381406264153,3.9297359928712057,-5.215985208221688,1.1628177841365404
2021-08-07,3.9818811458776,4.022746156156052,-5.34143268846082,0.9688988147421583
2021-08-08,-1.71515239020898,4.057708752035789,-5.388588498114651,-0.4434521212188115
2021-08-09,5.6962712090069,3.970416326563209,-5.2708528181335215,1.4134598450775662
2021-08-10,-1.6974141392609,4.154294098435331,-5.5188580074449325,-0.4288722127548384
2021-08-11,0.01887605723425,4.063088650334501,-5.395844637246989,-0.01608901787801142
2021-08-12,-2.58917535442009,3.958059612082022,-5.254186696486664,-0.6754376587530073
2021-08-13,7.30094797189178,3.896140828754991,-5.170673722489828,1.8522689825430272
2021-08-14,-1.46777437579732,4.266941621037211,-5.670791380815205,-0.36373160844639835
2021-08-15,-0.10609584864251,4.1676653137319475,-5.536892437312112,-0.04567137653419053
2021-08-16,-2.2408306921166203,4.059371678711162,-5.390831370870493,-0.5727679156554231
2021-08-17,-2.88691990345864,3.983743147056423,-5.2888273704988675,-0.7458229501627018
2021-08-18,0.23649666500116,3.9299343582259203,-5.2162527535418635,0.03874097833544032
